# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-06-16  13:48 jjl     template, 5.2 switches
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -9.63384E-02   1.98166E+18   1.86812E-01   1.94928E-01   1.32484E+05   3.62568E+04   9.62275E+04   9.47037E+02   3.53098E+04   2.45761E+04   1.16807E+04   6.81271E+01   8.78910E+02  -3.31814E-01   2.56662E+00  -2.99324E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.23502E+01   1.09865E+01
 -8.92373E-02   2.96367E+18   2.13135E-01   2.23382E-01   1.34913E+05   3.23804E+04   1.02532E+05   1.35911E+03   3.10213E+04   2.15587E+04   1.08217E+04   2.72647E+01   1.33184E+03  -3.18902E-01   2.56428E+00  -2.98654E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.30911E+01   1.13335E+01
 -8.22327E-02   3.88733E+18   2.35913E-01   2.54731E-01   1.56459E+05   4.79378E+04   1.08521E+05   1.78163E+03   4.61562E+04   3.19379E+04   1.59999E+04  -9.84097E+01   1.88004E+03  -3.05701E-01   2.56197E+00  -2.97992E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.40007E+01   1.18501E+01
 -7.53491E-02   5.99888E+18   2.63432E-01   2.70879E-01   1.73037E+05   5.79089E+04   1.15128E+05   3.31073E+03   5.45982E+04   3.80899E+04   1.98190E+04   1.94182E+02   3.11655E+03  -2.92224E-01   2.55970E+00  -2.97343E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.48966E+01   1.22336E+01
 -6.85893E-02   7.42293E+18   2.47469E-01   2.32517E-01   1.68420E+05   4.57030E+04   1.22717E+05   4.09863E+03   4.16043E+04   2.92348E+04   1.64682E+04   3.57870E+02   3.74076E+03  -2.78434E-01   2.55747E+00  -2.96704E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.59609E+01   1.28043E+01
 -6.20014E-02   1.00214E+19   3.09741E-01   3.05978E-01   2.27149E+05   9.56634E+04   1.31486E+05   6.21830E+03   8.94451E+04   6.25834E+04   3.30800E+04   5.00896E+02   5.71741E+03  -2.64292E-01   2.55529E+00  -2.96083E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.70762E+01   1.33733E+01
 -5.55737E-02   1.60246E+19   3.42545E-01   3.50992E-01   2.31281E+05   9.06748E+04   1.40606E+05   9.66984E+03   8.10049E+04   5.67380E+04   3.39368E+04   5.13675E+02   9.15616E+03  -2.49819E-01   2.55318E+00  -2.95475E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.81708E+01   1.38609E+01
 -4.93363E-02   2.10570E+19   3.53944E-01   3.46958E-01   2.61736E+05   1.09852E+05   1.51884E+05   1.28318E+04   9.70207E+04   6.79041E+04   4.19483E+04   5.63571E+02   1.22682E+04  -2.34998E-01   2.55116E+00  -2.94885E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.95023E+01   1.45939E+01
 -4.33177E-02   3.26096E+19   3.90436E-01   3.79301E-01   2.95303E+05   1.28917E+05   1.66386E+05   2.15999E+04   1.07317E+05   7.58956E+04   5.30214E+04   1.40844E+03   2.01915E+04  -2.19781E-01   2.54922E+00  -2.94316E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.08462E+01   1.52381E+01
 -3.75115E-02   4.54498E+19   4.10545E-01   4.02247E-01   3.47876E+05   1.63740E+05   1.84135E+05   3.10842E+04   1.32656E+05   9.43034E+04   6.94369E+04   2.22883E+03   2.88554E+04  -2.04175E-01   2.54734E+00  -2.93766E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.22924E+01   1.59814E+01
