# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-06-16  13:49 jjl     template, 5.2 switches
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -9.63384E-02   7.62305E+14   2.53457E-02   7.36383E-01   3.27844E+05   3.89299E+04   2.88914E+05   8.86783E-01   3.89291E+04   2.51248E+04   1.38051E+04   1.66248E-01   7.20535E-01  -3.31814E-01   2.56662E+00  -2.99324E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.23502E+01   1.09865E+01
 -8.92373E-02   2.25845E+15   2.08934E+00   8.51908E-01   3.55263E+05   6.19577E+04   2.93305E+05   1.14362E+01   6.19463E+04   3.99881E+04   2.19696E+04   8.24015E+00   3.19609E+00  -3.18902E-01   2.56428E+00  -2.98654E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.30911E+01   1.13335E+01
 -8.22327E-02   7.94253E+15   1.12328E+00   7.55592E-01   3.40488E+05   4.58623E+04   2.94626E+05   1.73610E+01   4.58450E+04   2.95970E+04   1.62653E+04   8.86071E+00   8.50031E+00  -3.05701E-01   2.56197E+00  -2.97992E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.40007E+01   1.18501E+01
 -7.53491E-02   1.78461E+16   9.95605E-01   5.82981E-01   3.45038E+05   4.89291E+04   2.96109E+05   3.57505E+01   4.88934E+04   3.15742E+04   1.73549E+04   1.86242E+01   1.71263E+01  -2.92224E-01   2.55970E+00  -2.97343E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.48966E+01   1.22336E+01
 -6.85893E-02   7.71216E+16   8.24128E-01   6.39133E-01   3.57783E+05   5.99675E+04   2.97816E+05   1.12041E+02   5.98555E+04   3.86681E+04   2.12994E+04   3.76741E+01   7.43664E+01  -2.78434E-01   2.55747E+00  -2.96704E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.59609E+01   1.28043E+01
 -6.20014E-02   2.75147E+17   6.04439E-01   5.32475E-01   3.67819E+05   6.75044E+04   3.00315E+05   2.92963E+02   6.72115E+04   4.34411E+04   2.40633E+04   6.31080E+01   2.29855E+02  -2.64292E-01   2.55529E+00  -2.96083E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.70762E+01   1.33733E+01
 -5.55737E-02   6.11510E+17   4.64471E-01   4.53367E-01   3.60547E+05   5.12833E+04   3.09264E+05   5.83713E+02   5.06995E+04   3.28331E+04   1.84502E+04   1.11835E+02   4.71878E+02  -2.49819E-01   2.55318E+00  -2.95475E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.81708E+01   1.38609E+01
 -4.93363E-02   1.48298E+18   4.21618E-01   5.00071E-01   3.90014E+05   6.64775E+04   3.23537E+05   1.23072E+03   6.52468E+04   4.23079E+04   2.41696E+04   1.97952E+02   1.03277E+03  -2.34998E-01   2.55116E+00  -2.94885E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.95023E+01   1.45939E+01
 -4.33177E-02   3.93927E+18   4.31334E-01   4.35726E-01   3.74903E+05   4.98192E+04   3.25084E+05   3.02726E+03   4.67919E+04   3.05079E+04   1.93113E+04   3.08570E+02   2.71869E+03  -2.19781E-01   2.54922E+00  -2.94316E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.08462E+01   1.52381E+01
 -3.75115E-02   8.75867E+18   4.51566E-01   4.73223E-01   3.94706E+05   6.98087E+04   3.24897E+05   6.79370E+03   6.30150E+04   4.14983E+04   2.83103E+04   8.28749E+02   5.96495E+03  -2.04175E-01   2.54734E+00  -2.93766E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.22924E+01   1.59814E+01
