R_m Z_m Te_eV Ti_eV O1+_sput O2+_sput O3+_sput O4+_sput O5+_sput O6+_sput O7+_sput O8+_sput Total_sput
2.97110000e+00 -4.20100000e-01 1.53444094e-01 4.97900687e-01 2.34280907e-07 2.24768972e-07 4.53936822e-07 5.87652642e-07 2.61425437e-06 5.37931044e-05 1.06467140e-05 4.55114348e-06 7.31058556e-05
2.96015990e+00 -4.36904630e-01 8.66384030e-02 2.48997671e-01 1.33895343e-07 1.13784645e-07 2.44590235e-07 2.71594785e-07 1.03449342e-06 2.05690860e-05 4.06415353e-06 1.75057180e-06 2.81821698e-05
2.95458180e+00 -4.45343670e-01 8.44835559e-02 2.36173342e-01 1.23943718e-07 1.04425116e-07 2.23391454e-07 2.49535040e-07 9.57126619e-07 1.90650714e-05 3.76502324e-06 1.62125480e-06 2.61097714e-05
2.94889750e+00 -4.53711500e-01 8.43866224e-02 2.31392387e-01 1.21235464e-07 1.01554149e-07 2.13164946e-07 2.42733961e-07 9.52487543e-07 1.88594537e-05 3.74105220e-06 1.61439366e-06 2.58460756e-05
2.94310770e+00 -4.62006790e-01 4.00792913e-02 7.39095908e-02 5.06288314e-08 3.24635407e-08 7.68757669e-08 5.16439911e-08 4.62378101e-08 8.65894352e-08 4.69209487e-08 3.02901275e-08 4.21650452e-07
2.93721360e+00 -4.70228200e-01 4.42962800e-02 1.02967416e-01 4.19569312e-08 2.55213897e-08 5.81090266e-08 3.85078223e-08 3.46753600e-08 7.42574225e-08 3.52438601e-08 2.22789809e-08 3.30550793e-07
2.92721360e+00 -4.70228200e-01 5.29652991e-02 1.76915623e-01 2.93433328e-08 1.49386781e-08 2.86391733e-08 1.72994364e-08 1.52242373e-08 4.17775174e-08 1.40119656e-08 8.00441782e-09 1.69238759e-07
2.90721360e+00 -4.70228200e-01 1.68057313e-01 1.01759565e+00 1.71112268e-07 1.48786972e-07 2.69461467e-07 3.81285779e-07 1.80823724e-06 3.53607866e-05 7.12472425e-06 3.10495900e-06 4.83693535e-05
2.89721360e+00 -4.70228200e-01 2.17159060e-01 1.74582905e+00 1.15911140e-07 9.04867418e-08 1.64164643e-07 2.32481404e-07 1.06334556e-06 2.01305534e-03 4.89925704e-01 2.64612923e+02 2.65104863e+02
2.88721360e+00 -4.70228200e-01 2.56564548e-01 2.03534560e+00 8.22740807e-08 5.15083272e-08 9.29978911e-08 1.33068704e-07 2.75602110e-05 2.21282002e+00 1.64406089e+03 2.94414916e+06 2.94579543e+06
2.87721360e+00 -4.70228200e-01 3.84409573e-01 2.60741279e+00 1.43214901e-07 9.51852599e-08 1.68498070e-07 1.56752518e-04 3.00555008e+01 2.61836581e+07 3.09093452e-47 4.66602019e-144 2.61836881e+07
2.86721360e+00 -4.70228200e-01 4.74560468e-01 2.95376634e+00 1.92686406e-07 1.33020158e-07 7.51109018e-07 1.87447981e-01 1.51071811e+05 9.32022209e-37 8.99672509e-147 2.06895096e-256 1.51071999e+05
2.85721360e+00 -4.70228200e-01 7.00276056e-01 3.55726120e+00 3.53948272e-07 2.77334095e-07 4.01248232e-02 1.18360319e+05 3.75683871e-65 1.99887335e-195 1.26326148e-240 1.73929189e-108 1.18360359e+05
2.86307140e+00 -4.62058160e-01 7.30209355e-01 3.61672464e+00 3.87307921e-07 3.21342751e-07 1.40681915e-01 5.28064831e+05 2.10310575e-79 6.96154022e-212 1.04620802e-221 2.36337638e-87 5.28064972e+05
2.86882610e+00 -4.53815160e-01 8.16715728e-01 3.78815851e+00 6.12231511e-07 6.03039599e-07 5.46494968e+00 4.03289459e+07 1.64546169e-120 2.42368861e-259 3.89724574e-167 2.13470214e-26 4.03289514e+07
2.87447670e+00 -4.45500490e-01 7.75209892e-01 3.67935953e+00 5.57027721e-07 4.84685327e-07 7.78426967e-01 3.69198460e+06 7.94868215e-96 1.24530284e-230 3.43810707e-200 1.66891428e-63 3.69198537e+06
2.88002240e+00 -4.37115480e-01 1.10036368e+00 4.28350506e+00 1.32746151e-06 2.57344388e-03 1.75949306e+05 1.79563397e-85 2.95051593e-243 9.04167303e-165 6.39316499e-06 7.91159612e-132 1.75949309e+05
2.88546230e+00 -4.28661440e-01 1.11380981e+00 4.31955388e+00 1.77675106e-06 5.35275663e-03 4.18620076e+05 3.46188127e-92 2.63116404e-251 4.15020227e-155 6.53339112e+05 5.77487569e-144 1.07195919e+06
2.89079560e+00 -4.20139700e-01 1.15355100e+00 4.38664543e+00 1.91888564e-06 1.62703957e-02 1.67908465e+06 1.72997767e-106 4.34295015e-268 1.24289946e-135 1.33234701e-04 2.33560705e-168 1.67908467e+06
2.89602130e+00 -4.11551630e-01 1.16016407e+00 4.41256341e+00 1.55414648e-06 1.81776229e-02 2.14582944e+06 4.08663397e-111 1.14195538e-273 3.88706189e-129 3.84230135e-12 7.23041622e-177 2.14582945e+06
2.90113870e+00 -4.02898560e-01 1.16327874e+00 4.42500393e+00 1.33452724e-06 1.83978303e-02 2.33800912e+06 2.43258992e-113 2.37720468e-276 4.94815575e-126 9.21112928e-16 5.92620784e-181 2.33800914e+06
2.90614700e+00 -3.94181870e-01 1.16057174e+00 4.41450481e+00 1.33150952e-06 1.63039082e-02 1.98528720e+06 1.73480159e-111 4.14634256e-274 1.10790462e-128 1.00749921e-12 1.59506379e-177 1.98528722e+06
2.91104530e+00 -3.85402940e-01 1.18021852e+00 4.49070508e+00 1.35341142e-06 3.91824039e-02 6.50490506e+06 6.15485804e-125 4.80056212e-278 1.89292599e-109 8.85710911e-35 2.03484049e-202 6.50490510e+06
